customer_id,company_size,industry,region,signup_date,plan_type,contract_type,monthly_revenue,tenure_months,churned,cancel_date,avg_monthly_logins,avg_session_minutes,feature_usage_score,support_ticket_count,avg_resolution_hours
C00045,Enterprise,Tech,APAC,2022-08-05,Enterprise,Monthly,149,6,0,,12,26,78,2,13
C00046,Enterprise,Finance,US,2022-08-08,Enterprise,Monthly,149,20,0,,22,23,78,0,6
C00047,SMB,Tech,US,2023-01-04,Basic,Monthly,29,33,1,2025-09-20 00:00:00,7,6,21,7,55
C00048,SMB,Retail,US,2022-08-01,Basic,Annual,29,35,0,,18,32,86,0,20
C00049,Mid-Market,Tech,EU,2022-09-16,Pro,Annual,79,11,0,,17,20,51,0,11
C00050,SMB,Healthcare,US,2023-11-29,Basic,Monthly,29,28,1,2026-03-18 00:00:00,2,8,26,3,56
C00051,SMB,Retail,EU,2023-07-12,Basic,Monthly,29,6,0,,14,29,64,1,13
C00052,Enterprise,Marketing,EU,2022-01-05,Enterprise,Monthly,149,33,0,,11,29,88,2,20
C00053,Mid-Market,Marketing,US,2023-05-26,Pro,Monthly,79,6,0,,14,19,77,2,8
C00054,Mid-Market,Marketing,APAC,2022-05-25,Pro,Monthly,79,9,1,2023-02-19 00:00:00,4,9,22,6,24
C00055,Mid-Market,Marketing,US,2022-03-13,Pro,Monthly,79,34,0,,12,32,51,0,15
C00056,SMB,Finance,US,2023-09-16,Basic,Monthly,29,23,0,,14,28,41,2,22
C00057,Enterprise,Healthcare,APAC,2022-11-02,Enterprise,Monthly,149,30,0,,12,16,77,0,18
C00058,SMB,Marketing,APAC,2022-05-13,Basic,Annual,29,10,0,,19,31,59,0,5
C00059,Mid-Market,Marketing,US,2022-02-12,Pro,Monthly,79,23,1,2024-01-03 00:00:00,4,10,25,6,63
C00060,Mid-Market,Tech,APAC,2022-07-14,Pro,Monthly,79,32,1,2025-02-28 00:00:00,3,7,28,7,28
C00061,SMB,Marketing,US,2023-02-09,Basic,Monthly,29,5,0,,19,28,73,0,17
C00062,SMB,Finance,US,2022-09-06,Basic,Monthly,29,22,1,2024-06-27 00:00:00,7,7,25,7,40
C00063,SMB,Tech,US,2022-09-10,Basic,Annual,29,22,1,2024-07-01 00:00:00,5,11,23,4,68
C00064,SMB,Finance,US,2022-01-07,Basic,Monthly,29,23,0,,24,27,57,1,9
C00065,SMB,Tech,EU,2022-01-28,Basic,Monthly,29,17,1,2023-06-22 00:00:00,3,10,21,3,40
C00066,SMB,Tech,EU,2022-03-08,Basic,Monthly,29,18,1,2023-08-30 00:00:00,7,6,24,3,67
C00067,SMB,Tech,US,2023-11-23,Basic,Monthly,29,34,1,2026-09-08 00:00:00,4,9,15,7,56
C00068,SMB,Retail,US,2023-05-18,Basic,Monthly,29,30,1,2025-11-03 00:00:00,7,10,18,5,54
C00069,SMB,Healthcare,APAC,2022-01-06,Basic,Monthly,29,28,0,,24,20,88,1,9
C00070,Mid-Market,Tech,EU,2023-01-27,Pro,Monthly,79,5,0,,15,18,58,0,23
C00071,SMB,Tech,EU,2022-11-16,Basic,Monthly,29,11,0,,22,25,42,0,9
C00072,SMB,Marketing,US,2023-10-12,Basic,Annual,29,13,0,,13,15,76,0,20
C00073,SMB,Finance,US,2023-08-04,Basic,Annual,29,14,0,,20,23,73,2,6
C00074,Enterprise,Healthcare,APAC,2022-08-17,Enterprise,Monthly,149,30,0,,14,19,58,2,17
C00075,SMB,Healthcare,US,2022-02-11,Basic,Monthly,29,8,0,,23,33,77,0,18
C00076,SMB,Tech,APAC,2023-05-18,Basic,Monthly,29,6,0,,16,33,47,1,23
C00077,Mid-Market,Retail,US,2023-04-23,Pro,Annual,79,29,1,2025-09-09 00:00:00,2,9,14,5,56
C00078,SMB,Marketing,EU,2023-09-27,Basic,Annual,29,13,1,2024-10-21 00:00:00,5,9,29,7,31
C00079,SMB,Healthcare,EU,2022-05-10,Basic,Monthly,29,26,1,2024-06-28 00:00:00,6,8,20,4,63
C00080,SMB,Marketing,APAC,2023-01-31,Basic,Annual,29,18,0,,24,22,82,0,8
C00081,Mid-Market,Marketing,EU,2023-01-13,Pro,Monthly,79,29,1,2025-06-01 00:00:00,2,10,20,3,69
C00082,SMB,Marketing,APAC,2022-07-01,Basic,Annual,29,1,0,,16,33,79,2,18
C00083,SMB,Tech,US,2022-11-09,Basic,Monthly,29,35,0,,18,25,77,1,10
C00084,SMB,Marketing,APAC,2023-10-02,Basic,Monthly,29,24,0,,13,20,63,0,20
C00085,Mid-Market,Finance,EU,2022-06-05,Pro,Monthly,79,7,0,,18,31,59,1,11
C00086,SMB,Tech,US,2022-08-03,Basic,Monthly,29,19,1,2024-02-24 00:00:00,7,9,26,7,52
C00087,SMB,Finance,US,2023-08-13,Basic,Annual,29,2,0,,10,32,69,1,22
C00088,SMB,Tech,US,2022-02-24,Basic,Annual,29,32,1,2024-10-11 00:00:00,4,10,11,6,56
C00089,SMB,Healthcare,APAC,2023-01-26,Basic,Monthly,29,1,0,,12,22,86,0,6
C00090,Enterprise,Healthcare,US,2023-02-22,Enterprise,Annual,149,24,0,,17,28,82,0,17
C00091,SMB,Marketing,US,2023-11-04,Basic,Monthly,29,19,1,2025-05-27 00:00:00,4,8,27,4,24
C00092,Mid-Market,Healthcare,US,2023-01-21,Pro,Monthly,79,12,0,,14,20,69,0,5
C00093,Enterprise,Finance,APAC,2022-12-30,Enterprise,Monthly,149,10,0,,20,28,62,0,21
C00094,SMB,Tech,US,2022-08-25,Basic,Monthly,29,9,1,2023-05-22 00:00:00,4,10,13,4,52
C00095,SMB,Retail,US,2022-05-26,Basic,Monthly,29,34,0,,18,20,51,2,13
C00096,SMB,Finance,APAC,2023-10-08,Basic,Annual,29,34,0,,18,21,49,0,20
C00097,SMB,Healthcare,EU,2023-07-12,Basic,Monthly,29,1,1,2023-08-11 00:00:00,5,7,20,5,59
C00098,Mid-Market,Finance,APAC,2022-02-24,Pro,Monthly,79,22,0,,10,18,86,2,6
C00099,Mid-Market,Tech,US,2022-12-31,Pro,Monthly,79,9,0,,14,23,48,0,4
C00100,SMB,Finance,EU,2022-01-25,Basic,Monthly,29,3,1,2022-04-25 00:00:00,5,8,28,4,35
C00101,SMB,Healthcare,APAC,2022-01-17,Basic,Annual,29,12,0,,17,33,47,2,20
C00102,Mid-Market,Tech,APAC,2022-09-25,Pro,Monthly,79,26,1,2024-11-13 00:00:00,3,11,19,3,46
C00103,SMB,Marketing,US,2022-12-01,Basic,Monthly,29,9,1,2023-08-28 00:00:00,3,7,27,6,62
C00104,SMB,Finance,APAC,2022-09-30,Basic,Monthly,29,24,1,2024-09-19 00:00:00,5,9,11,5,60
C00105,SMB,Marketing,EU,2022-12-30,Basic,Monthly,29,4,0,,18,27,57,0,19
C00106,SMB,Healthcare,US,2022-11-07,Basic,Monthly,29,34,1,2025-08-23 00:00:00,6,9,27,5,62
C00107,SMB,Retail,EU,2023-04-22,Basic,Monthly,29,16,0,,24,24,69,0,10
C00108,SMB,Tech,US,2022-01-03,Basic,Monthly,29,30,0,,11,19,64,0,17
C00109,SMB,Tech,US,2022-05-20,Basic,Annual,29,6,0,,24,28,63,2,16
C00110,Enterprise,Healthcare,US,2023-08-07,Enterprise,Annual,149,10,1,2024-06-02 00:00:00,2,6,18,3,26
C00111,Mid-Market,Retail,US,2022-02-16,Pro,Monthly,79,9,0,,19,31,81,2,21
C00112,SMB,Tech,US,2022-06-09,Basic,Monthly,29,13,1,2023-07-04 00:00:00,2,5,13,7,57
C00113,SMB,Finance,US,2023-06-25,Basic,Annual,29,25,0,,19,23,54,0,8
C00114,Mid-Market,Marketing,US,2022-02-07,Pro,Monthly,79,5,1,2022-07-07 00:00:00,3,10,14,6,71
C00115,Mid-Market,Retail,APAC,2022-04-24,Pro,Monthly,79,32,0,,12,17,79,1,11
C00116,SMB,Retail,EU,2022-08-04,Basic,Annual,29,28,0,,20,30,80,0,14
C00117,SMB,Retail,EU,2022-07-10,Basic,Monthly,29,7,0,,22,33,70,2,13
C00118,SMB,Finance,US,2023-07-05,Basic,Monthly,29,2,0,,22,26,78,1,16
C00119,Mid-Market,Tech,EU,2022-12-26,Pro,Monthly,79,24,0,,15,33,69,2,13
C00120,SMB,Marketing,US,2023-07-26,Basic,Monthly,29,29,0,,13,18,89,2,20
C00121,Mid-Market,Tech,EU,2022-01-22,Pro,Monthly,79,18,0,,24,26,75,2,6
C00122,SMB,Healthcare,US,2022-02-02,Basic,Monthly,29,15,0,,20,16,85,1,7
C00123,SMB,Retail,APAC,2022-09-28,Basic,Annual,29,29,1,2025-02-14 00:00:00,3,11,23,6,45
C00124,SMB,Finance,APAC,2023-03-16,Basic,Monthly,29,21,0,,14,34,45,2,8
C00125,Enterprise,Tech,US,2023-06-11,Enterprise,Annual,149,35,1,2026-04-26 00:00:00,2,8,27,6,39
C00126,SMB,Healthcare,US,2023-10-19,Basic,Monthly,29,8,0,,23,32,46,2,15
C00127,SMB,Healthcare,APAC,2023-07-12,Basic,Monthly,29,30,1,2025-12-28 00:00:00,2,10,21,6,59
C00128,SMB,Tech,US,2023-05-16,Basic,Monthly,29,24,0,,22,31,47,0,21
C00129,Mid-Market,Marketing,US,2023-08-30,Pro,Annual,79,11,0,,10,20,80,2,22
C00130,SMB,Tech,US,2022-02-15,Basic,Monthly,29,16,0,,21,34,72,1,11
C00131,SMB,Healthcare,US,2022-08-13,Basic,Monthly,29,13,1,2023-09-07 00:00:00,6,8,16,4,61
C00132,SMB,Marketing,APAC,2022-04-16,Basic,Monthly,29,11,1,2023-03-12 00:00:00,4,10,18,3,62
C00133,Mid-Market,Tech,EU,2022-09-21,Pro,Annual,79,28,0,,23,29,46,2,23
C00134,SMB,Marketing,EU,2023-05-30,Basic,Monthly,29,14,1,2024-07-23 00:00:00,7,8,21,7,48
C00135,Enterprise,Marketing,US,2022-12-22,Enterprise,Annual,149,29,0,,16,33,83,1,9
C00136,Mid-Market,Retail,APAC,2022-02-28,Pro,Monthly,79,10,0,,22,29,72,2,15
C00137,SMB,Retail,EU,2022-01-24,Basic,Monthly,29,4,0,,23,34,63,1,20
C00138,SMB,Tech,US,2022-04-27,Basic,Monthly,29,2,0,,13,20,78,1,22
C00139,SMB,Retail,US,2022-08-25,Basic,Monthly,29,21,0,,12,22,75,1,13
C00140,SMB,Marketing,US,2023-07-07,Basic,Monthly,29,14,0,,18,34,41,2,9
C00141,Mid-Market,Tech,APAC,2022-03-07,Pro,Annual,79,5,0,,17,26,75,0,18
C00142,SMB,Marketing,US,2022-09-27,Basic,Monthly,29,29,1,2025-02-13 00:00:00,7,5,10,7,43
C00143,SMB,Healthcare,EU,2023-07-30,Basic,Monthly,29,28,1,2025-11-16 00:00:00,6,11,14,6,60
C00144,Mid-Market,Healthcare,US,2023-01-02,Pro,Annual,79,20,0,,11,23,76,1,4
C00145,SMB,Retail,APAC,2022-06-10,Basic,Monthly,29,14,0,,13,32,63,2,14
C00146,SMB,Tech,EU,2022-07-04,Basic,Monthly,29,23,0,,13,27,55,1,13
C00147,Mid-Market,Marketing,US,2023-10-31,Pro,Monthly,79,5,0,,24,16,40,2,14
C00148,Mid-Market,Marketing,US,2023-06-22,Pro,Annual,79,12,1,2024-06-16 00:00:00,2,10,13,3,24
C00149,SMB,Retail,EU,2022-12-27,Basic,Monthly,29,28,1,2025-04-15 00:00:00,7,11,18,3,64
C00150,Enterprise,Retail,EU,2023-08-12,Enterprise,Monthly,149,11,0,,22,20,85,1,22
C00151,Mid-Market,Marketing,APAC,2022-10-06,Pro,Monthly,79,11,0,,23,21,64,0,18
C00152,Mid-Market,Marketing,US,2023-08-28,Pro,Monthly,79,32,0,,21,20,65,2,6
C00153,SMB,Marketing,EU,2022-01-03,Basic,Monthly,29,8,0,,15,26,44,1,19
C00154,SMB,Healthcare,US,2022-02-12,Basic,Annual,29,6,0,,21,25,84,0,14
C00155,SMB,Retail,APAC,2022-02-20,Basic,Monthly,29,21,0,,12,16,53,0,7
C00156,SMB,Healthcare,EU,2023-10-31,Basic,Annual,29,35,0,,19,18,69,1,5
C00157,SMB,Healthcare,APAC,2022-12-16,Basic,Monthly,29,31,0,,16,27,70,2,20
C00158,SMB,Marketing,APAC,2022-03-25,Basic,Monthly,29,7,0,,21,27,81,2,16
C00159,Mid-Market,Retail,APAC,2022-01-26,Pro,Monthly,79,10,1,2022-11-22 00:00:00,2,9,19,3,49
C00160,SMB,Healthcare,US,2023-06-15,Basic,Annual,29,10,0,,12,18,49,0,21
C00161,SMB,Tech,EU,2022-08-14,Basic,Monthly,29,21,1,2024-05-05 00:00:00,6,11,12,6,30
C00162,SMB,Marketing,US,2022-03-18,Basic,Monthly,29,25,0,,12,21,60,1,6
C00163,SMB,Retail,EU,2023-04-04,Basic,Annual,29,19,0,,15,24,71,2,16
C00164,SMB,Retail,APAC,2022-03-14,Basic,Monthly,29,6,0,,13,27,88,1,8
C00165,SMB,Retail,US,2023-07-16,Basic,Monthly,29,3,1,2023-10-14 00:00:00,3,11,21,4,61
C00166,SMB,Marketing,US,2022-04-26,Basic,Monthly,29,5,1,2022-09-23 00:00:00,2,11,25,4,53
C00167,SMB,Healthcare,US,2023-10-10,Basic,Annual,29,16,0,,16,33,79,1,8
C00168,Mid-Market,Healthcare,US,2022-10-13,Pro,Monthly,79,6,0,,17,21,71,0,19
C00169,SMB,Healthcare,EU,2023-10-16,Basic,Monthly,29,23,1,2025-09-05 00:00:00,3,5,11,5,32
C00170,SMB,Finance,US,2023-02-11,Basic,Annual,29,18,0,,12,25,54,1,8
C00171,SMB,Healthcare,APAC,2022-02-11,Basic,Monthly,29,35,0,,19,28,45,2,19
C00172,SMB,Tech,US,2023-11-06,Basic,Monthly,29,2,1,2024-01-05 00:00:00,7,8,27,4,48
C00173,SMB,Retail,APAC,2022-06-13,Basic,Monthly,29,1,0,,15,28,42,2,12
C00174,Mid-Market,Retail,US,2023-01-27,Pro,Monthly,79,4,1,2023-05-27 00:00:00,5,9,21,6,36
C00175,Enterprise,Healthcare,US,2023-03-23,Enterprise,Monthly,149,29,1,2025-08-09 00:00:00,3,8,28,5,28
C00176,Mid-Market,Marketing,US,2023-01-17,Pro,Annual,79,31,0,,18,33,48,2,12
C00177,Mid-Market,Finance,US,2023-02-04,Pro,Monthly,79,4,0,,17,31,76,2,23
C00178,SMB,Healthcare,US,2022-08-19,Basic,Annual,29,35,0,,21,28,46,0,8
C00179,SMB,Marketing,US,2023-02-09,Basic,Monthly,29,15,0,,16,21,44,0,16
C00180,SMB,Marketing,EU,2023-11-24,Basic,Annual,29,32,0,,12,31,50,2,23
C00181,SMB,Retail,US,2023-06-30,Basic,Monthly,29,18,0,,18,34,68,1,13
C00182,Mid-Market,Retail,US,2022-07-11,Pro,Annual,79,9,0,,11,30,68,0,13
C00183,Enterprise,Healthcare,EU,2022-10-11,Enterprise,Monthly,149,34,0,,15,22,88,2,20
C00184,SMB,Retail,US,2023-02-20,Basic,Annual,29,23,0,,22,22,62,2,4
C00185,SMB,Finance,US,2023-10-07,Basic,Monthly,29,31,1,2026-04-24 00:00:00,4,8,24,5,30
C00186,Mid-Market,Finance,US,2022-09-18,Pro,Monthly,79,32,1,2025-05-05 00:00:00,3,10,24,6,40
C00187,SMB,Tech,APAC,2023-04-08,Basic,Monthly,29,4,0,,18,32,49,0,7
C00188,SMB,Marketing,EU,2023-11-24,Basic,Annual,29,16,0,,21,16,50,1,18
C00189,SMB,Marketing,US,2023-10-27,Basic,Monthly,29,14,0,,18,32,61,1,23
C00190,SMB,Finance,APAC,2022-05-02,Basic,Annual,29,12,0,,11,27,60,1,11
C00191,Mid-Market,Healthcare,US,2022-09-13,Pro,Monthly,79,25,0,,22,27,57,1,18
C00192,SMB,Marketing,US,2023-02-11,Basic,Annual,29,13,0,,14,15,42,2,22
C00193,SMB,Healthcare,EU,2022-05-08,Basic,Monthly,29,8,0,,17,15,83,0,6
C00194,Enterprise,Finance,US,2023-05-06,Enterprise,Monthly,149,21,0,,16,16,80,0,12
C00195,SMB,Marketing,EU,2023-07-20,Basic,Annual,29,14,1,2024-09-12 00:00:00,3,9,29,5,39
C00196,SMB,Finance,APAC,2022-05-12,Basic,Monthly,29,4,0,,17,17,65,0,9
C00197,SMB,Retail,US,2022-07-07,Basic,Annual,29,20,0,,16,18,68,1,6
C00198,SMB,Marketing,EU,2023-06-20,Basic,Monthly,29,18,0,,21,33,88,2,17
C00199,SMB,Retail,EU,2022-11-10,Basic,Annual,29,31,0,,12,30,84,1,20
C00200,SMB,Marketing,US,2022-04-23,Basic,Monthly,29,11,0,,15,27,72,0,9
C00201,Mid-Market,Finance,EU,2023-07-13,Pro,Annual,79,11,0,,19,30,44,0,23
C00202,SMB,Marketing,US,2023-09-11,Basic,Monthly,29,6,0,,22,33,58,1,6
C00203,SMB,Finance,US,2022-02-18,Basic,Monthly,29,5,0,,19,18,78,2,21
C00204,Enterprise,Tech,US,2022-07-01,Enterprise,Monthly,149,31,0,,18,18,60,1,15
C00205,SMB,Healthcare,US,2022-08-08,Basic,Annual,29,10,1,2023-06-04 00:00:00,7,11,19,3,36
C00206,SMB,Tech,US,2023-11-27,Basic,Monthly,29,18,0,,18,18,89,0,10
C00207,SMB,Marketing,EU,2022-07-22,Basic,Annual,29,15,0,,14,24,65,1,8
C00208,Enterprise,Marketing,US,2023-08-22,Enterprise,Monthly,149,24,0,,12,26,80,0,21
C00209,Mid-Market,Marketing,US,2023-08-21,Pro,Monthly,79,17,0,,22,16,67,1,14
C00210,SMB,Tech,US,2023-05-09,Basic,Monthly,29,1,0,,14,16,61,0,5
C00211,SMB,Finance,EU,2022-03-27,Basic,Monthly,29,10,0,,12,31,71,2,23
C00212,SMB,Healthcare,EU,2022-08-02,Basic,Monthly,29,21,0,,13,28,66,0,12
C00213,SMB,Healthcare,EU,2023-03-23,Basic,Monthly,29,3,0,,10,24,74,1,10
C00214,Mid-Market,Tech,US,2023-03-03,Pro,Annual,79,11,0,,19,22,63,0,7
C00215,SMB,Tech,US,2022-08-26,Basic,Monthly,29,20,0,,11,21,55,2,16
C00216,Enterprise,Marketing,US,2023-05-01,Enterprise,Monthly,149,1,1,2023-05-31 00:00:00,6,8,25,5,60
C00217,SMB,Finance,APAC,2023-06-08,Basic,Annual,29,16,0,,22,27,73,1,8
C00218,SMB,Tech,US,2023-10-28,Basic,Monthly,29,5,0,,21,23,77,1,9
C00219,Mid-Market,Healthcare,APAC,2023-03-26,Pro,Annual,79,9,0,,11,17,51,1,19
C00220,Mid-Market,Marketing,US,2023-11-06,Pro,Monthly,79,18,0,,18,30,61,0,8
C00221,Mid-Market,Finance,EU,2022-09-29,Pro,Monthly,79,35,0,,21,29,78,1,12
C00222,Mid-Market,Tech,APAC,2023-10-02,Pro,Monthly,79,4,0,,24,20,54,2,6
C00223,Mid-Market,Retail,EU,2023-10-16,Pro,Annual,79,17,0,,12,27,54,1,22
C00224,Enterprise,Finance,US,2023-03-19,Enterprise,Monthly,149,14,0,,17,17,58,1,17
C00225,SMB,Tech,US,2022-09-27,Basic,Annual,29,23,1,2024-08-17 00:00:00,2,7,23,5,26
C00226,Mid-Market,Tech,APAC,2022-06-22,Pro,Annual,79,9,0,,16,33,86,1,9
C00227,SMB,Healthcare,US,2022-10-13,Basic,Monthly,29,33,0,,18,28,50,0,6
C00228,SMB,Tech,US,2022-03-09,Basic,Annual,29,2,0,,23,23,55,0,20
C00229,SMB,Healthcare,EU,2023-07-30,Basic,Annual,29,21,0,,14,30,59,0,6
C00230,SMB,Retail,US,2023-03-21,Basic,Monthly,29,35,0,,17,15,47,0,18
C00231,SMB,Healthcare,US,2023-06-11,Basic,Monthly,29,26,1,2025-07-30 00:00:00,7,9,28,6,52
C00232,Mid-Market,Healthcare,US,2023-02-10,Pro,Annual,79,3,0,,11,16,66,2,12
C00233,SMB,Tech,US,2023-07-27,Basic,Monthly,29,26,0,,12,24,40,0,16
C00234,SMB,Finance,US,2023-11-20,Basic,Monthly,29,8,1,2024-07-17 00:00:00,5,5,16,7,65
C00235,SMB,Tech,US,2023-07-03,Basic,Monthly,29,17,1,2024-11-24 00:00:00,4,7,16,3,62
C00236,SMB,Finance,US,2022-11-29,Basic,Annual,29,1,0,,12,26,47,0,16
C00237,Mid-Market,Tech,APAC,2022-04-13,Pro,Annual,79,5,1,2022-09-10 00:00:00,4,10,22,3,70
C00238,Enterprise,Marketing,US,2023-11-04,Enterprise,Monthly,149,18,0,,24,22,59,0,4
C00239,SMB,Finance,US,2022-04-15,Basic,Monthly,29,11,0,,23,32,48,0,10
C00240,Enterprise,Healthcare,EU,2023-09-21,Enterprise,Annual,149,3,0,,17,16,56,0,15
C00241,SMB,Tech,US,2022-12-23,Basic,Monthly,29,31,0,,17,20,67,0,14
C00242,SMB,Finance,US,2022-03-14,Basic,Monthly,29,30,0,,11,17,42,2,12
C00243,SMB,Finance,EU,2022-04-28,Basic,Annual,29,33,0,,11,19,46,0,4
C00244,SMB,Healthcare,US,2022-07-21,Basic,Monthly,29,28,1,2024-11-07 00:00:00,4,10,20,3,61
C00245,Mid-Market,Marketing,APAC,2023-03-16,Pro,Annual,79,1,1,2023-04-15 00:00:00,2,9,27,7,53
C00246,SMB,Finance,US,2023-07-11,Basic,Monthly,29,27,1,2025-09-28 00:00:00,4,7,19,5,29
C00247,Mid-Market,Retail,US,2023-04-30,Pro,Annual,79,35,0,,13,32,48,0,16
C00248,Mid-Market,Healthcare,US,2022-10-05,Pro,Monthly,79,13,0,,15,33,42,1,5
C00249,SMB,Finance,US,2022-12-07,Basic,Monthly,29,21,0,,16,18,40,2,6
C00250,SMB,Marketing,US,2023-03-11,Basic,Annual,29,35,0,,17,33,76,2,11
C00251,SMB,Tech,EU,2023-10-21,Basic,Monthly,29,27,0,,20,27,86,1,14
C00252,SMB,Retail,EU,2022-01-20,Basic,Monthly,29,12,0,,12,33,65,1,7
C00253,SMB,Tech,EU,2023-02-11,Basic,Monthly,29,11,0,,12,32,56,2,17
C00254,SMB,Healthcare,APAC,2022-12-31,Basic,Monthly,29,9,1,2023-09-27 00:00:00,6,5,26,3,56
C00255,Enterprise,Finance,US,2022-11-19,Enterprise,Monthly,149,13,0,,22,30,89,1,14
C00256,Enterprise,Marketing,US,2022-05-06,Enterprise,Monthly,149,12,0,,17,17,69,0,18
C00257,Enterprise,Marketing,EU,2022-04-23,Enterprise,Monthly,149,30,1,2024-10-09 00:00:00,2,8,14,3,38
C00258,SMB,Retail,APAC,2022-07-20,Basic,Annual,29,35,0,,17,23,73,1,17
C00259,SMB,Finance,US,2022-07-07,Basic,Monthly,29,32,1,2025-02-21 00:00:00,6,7,15,4,63
C00260,SMB,Marketing,EU,2023-10-18,Basic,Monthly,29,2,1,2023-12-17 00:00:00,6,11,11,5,31
C00261,SMB,Finance,US,2022-08-19,Basic,Monthly,29,1,0,,23,27,60,2,22
C00262,Mid-Market,Tech,EU,2023-06-28,Pro,Monthly,79,10,0,,15,34,59,1,17
